# 停战协议！玩具战争


## Talk 1

卡隆: 两位客人还没回去呀，不管怎么说，这次我也要谢谢你们。终于和大哥说上话了，父亲知道了也会高兴的。

## Talk 2

派蒙: 说起来，今天好像是利弗老板要去拜访卡隆老板的日子了！我们也去看看吧？希望他们能和好！

## Talk 3

利弗: 你们来了。
派蒙: 老板的心情看起来挺不错嘛。
利弗: 还是多亏两位的帮助。话说回来，卡隆这趟蒙德之旅，也给了我不小启发。
利弗: 我在想，是不是也该出门转一转，找找关于玩具制作的灵感。
利弗: 二位走南闯北，应该认识不少班尼特那样的朋友吧，有什么好建议吗？
派蒙: 虽然朋友有不少，但关于玩具的灵感，有点被难住了…
旅行者: 为什么不找找第三人呢？
派蒙: 第三人？我们不就是第三人嘛！
利弗: 您的意思难道是指…北国银行？
派蒙: 原来是前任第三人！噢，让我想想，北国银行属于愚人众…愚人众属于…
利弗: 莫非是…愚人众里的执行官？以执行官为题材的玩具？
派蒙: #…哦！旅行者，你的意思该不会是？我明白了。
派蒙: 嘿嘿，利弗老板，你知不知道，愚人众里有一位特别的执行官，他有个很厉害的名号，叫作——
派蒙: 「至冬国最棒的玩具销售员」！
利弗: 哦？至冬国最棒的玩具销售员？有这种人物？
派蒙: 当然啦，这个人很懂行哦！说不定他会给你带来一大堆灵感，而且在推广上，玩具商和销售员一定也可以强强联手对吧？
利弗: 非常感谢两位贵客的建议，这对我很有帮助。
利弗: 虽然想要搭上执行官的线估计不轻松，但我在北国银行略有一些人脉，我会去尽力试试的。
派蒙: 嘿嘿，如果到时候做出来新玩具，记得找我们试玩哦！
利弗: 一定不会忘记两位，请等我的好消息吧！
