# 众贤之贤


## Talk 1

黑屏文本: 到约定时间了，一行人再次碰面…
赛诺: 我认真考虑过了。老师那个脾气，能孤身跑到沙漠来，就肯定做好了再也不回去的准备。
赛诺: 他又是个爱憎分明，一意孤行的人，我们不可能说服他逃走。
提纳里: 我同意。我的老师纳菲斯也说过，居勒什这个人很死心眼。
赛诺: 嗯，另外我还想到一些事。
赛诺: 缄默之殿的信息你们都知道了，我这里没有要补充的内容。
赛诺: 我对这地方的记忆还是很模糊，多半是受跋灵影响。小时候我经常觉得头痛，反复发烧。
赛诺: 当时还会突然感受到某种伟大的情感，看见一些模糊的影子。可都是片段，记不住。
赛诺: 我那时还小，只知道脑子里有股顽强的意志。现在想想，哪怕无法交流，赫曼努比斯也以某种方式鼓舞着人类。
赛诺: 那种传入精神的力量，也许就是他们信仰的东西。赫曼努比斯的意志和力量确实存在，所以…
派蒙: 你要受他威胁吗？没有更好的办法了吗？
旅行者: 别冲动，赛诺。
赛诺: 不，我不打算还。他们也许有资格把握七柱力量的去向，但我需要这份力量来守护须弥。
赛诺: ——我要正面对抗，堂堂正正地，再次赢下这股力量。
提纳里: 对了，临走前艾尔海森提醒过我，缄默之殿从前是个古老的贵族般的组织，而贵族总是被自己的礼仪所束缚。
提纳里: 卡维也说他在沙漠工作时听说沙漠部落大多都有自己的规矩，沙漠人总说自己无法违背血统和部落规矩。
提纳里: 我们不妨主动一些，提出我们的方案。
派蒙: 哇…原来还可以这样。
赛诺: 想到一起去了。
赛诺: 占据先机，主动提出无法拒绝的条件，我们就有可能拿下他们。
旅行者: 听起来挺像那么回事的。
提纳里: 嗯，切入口也想到了。我们可以去找赛索斯，告诉他我懂一些医学，想看看他祖父的情况。
旅行者: 一定还有办法的！

## Talk 2

派蒙: 别急，安全至上。
派蒙: #啊那边那个讨厌鬼，敢打到他我就跟你拼了！
赛索斯: 那边的观众席有点吵闹了哦。
派蒙: 你别管嘛！

## Talk 3

赛诺: 小心，注意闪避！
派蒙: 提纳里加油啊！！
赛诺: 赛前补充了水分，应该没问题吧。

## Talk 4

杜安雷: 第二回合也结束了。第三回合的选手，请上前。
赛诺: 我准备好了。
赛索斯: 我也是。
杜安雷: 这是本次仪式的最后一环，请记住你们双方开出的条件。
杜安雷: 准备好的话，随时可以开始。
赛索斯: ……
赛索斯: 我是赫曼努比斯力量的适合者，现任缄默之殿首领巴穆恩之孙，赛索斯。
赛索斯: 长久以来，我们缄默之殿谨遵赫曼努比斯大人的要求保守秘密，亦为求自保之力而于走投无路之时进行实验。
赛索斯: 我们追随他的真知与力量，渴求他的灵魂与光明一同降下。
赛索斯: 现在，我要为争夺这份力量而战！
赛诺: 我是大风纪官赛诺，贤者居勒什的学生与继承者，为捍卫我的力量、我的老师与我的国家而战。
赛诺: 你呢？还有没说出口的话吧。既然是崇高的决斗，就在赫曼努比斯眼前展露你的真心。
赛索斯: ……
赛索斯: （所有人…不论男女老少，都在期待着这场战斗的结果。）
赛索斯: 爷爷是贤明的领导者，也是背负了血腥之名的首领。我知道他怎么想，也知道他怎么期待我。
赛索斯: 但我们已经被信仰束缚了很久，后来我去了一趟雨林，见到了城里的人。
赛索斯: 时代变了，现在的须弥人似乎更快乐自由一些。我站在高处，俯瞰着脚下的街景。
赛索斯: 然后我想到你。赛诺，你也拥有这份力量，却过着与我截然不同的人生。
赛索斯: 赫曼努比斯的跋灵各有象征，威能、荣光…以及诸多未解之秘。
赛索斯: 我想过，大概是因为我们获得的跋灵象征不同，才会有这种区别。又或者…你已经找到了我不曾拥有的答案。
赛诺: 我不仅是一个战士，更是我自己。
提纳里: …对。
赛索斯: ……
赛索斯: 你我都是赫曼努比斯的容器，也不全是。他的名字影响了你我，改变了我们的人生。
赛索斯: 如果是你，一定可以回答我的问题——在这份力量与信仰之外，我还能带来什么！
赛索斯: 来吧！
派蒙: 怎么样？感觉还好吧？
赛诺: ……
赛索斯: ……

## Talk 5

提纳里: 都谈到这个份上，可没有回头路了。
赛诺: 也不是才开始的。从老师偷偷溜走那一刻起，我就已经没有回头路了。
提纳里: 你得赢。不论是作为大风纪官还是作为你自己，都需要这份力量。
派蒙: 对呀。而且这股力量跟了你这么久，它一定也认可你了。
赛诺: …不论是作为风纪官，还是作为我自己…
赛诺: 是啊，这么想想，我也是好不容易才克服困难制服了这股力量的。又不是谁都能做到。
派蒙: 就是就是！
旅行者: 不要多想，拿下胜利吧！
提纳里: #嗯，我和旅行者绝对不会输。
赛诺: 我也一样。
赛诺: 沙漠文明非常古老，又因为种种原因一度和雨林产生间隙。就像迪希雅说的，偏见阻隔着人们。
赛诺: 心病更是一切的源头。我总觉得巴穆恩在乎的东西似乎远不止这些，赛索斯也不是恶人，他有他的打算。
赛诺: …一切就看明天了。
旅行者: 我们也会帮忙的。

## Talk 6

杜安雷: 第一回合的选手，请上前。
旅行者: 交给我吧。

## Talk 7

杜安雷: 第一回合结束得很快。下面请第二回合的选手上前。
杜安雷: 准备好的话，随时可以开始。
提纳里: 开始吧。

## Additional Conversations

*Conversations not present as sub-quests.*

赛索斯: 我很期待这场暌违已久的决斗之仪。
赛索斯: 不仅是为了跋灵，更是为了许多人。
赛索斯: …爷爷…
