(Quest is part of chapter: 森林书 第二章 梦中的苗圃)

# 「兰那罗的世界」


## Talk 1

兰耶师: 金色的那菈…

## Talk 2

兰拉迦: #哎呀，是那菈…真的，好久没见过了。好高大，而且金灿灿的。和她说的一样。欢迎来到桓那兰那。
兰罗摩: #嗯，那菈旅行者和派蒙，他们很厉害！就连桓那吉也不怕。
兰拉迦: 哦哦！那可真了不起。通过兰拉娜的曲子来到桓那兰那的那菈，那一定是兰拉娜信任的好那菈。
派蒙: 奇怪，为什么你们都知道是兰拉娜让我们来的呀？
兰拉迦: 每个兰那罗都有自己的歌，每个兰那罗的歌曲调都不同。所以，是谁回家了，我们都能分辨出来。
兰拉迦: 兰拉娜一直在道成林、阿陀河谷，与那菈为友，老身已经许久未见到了。听见歌声，大家原本以为兰拉娜回来了，都很开心。
兰拉迦: #不过，进入桓那兰那的却是那菈，又让大家都很害怕。所以老身就请兰罗摩帮忙，让大家知道，那菈旅行者是好那菈。
派蒙: 原来如此原来如此。不过，依照兰罗摩的说法，我们解决的是梦境之外的问题，有帮助吗？对于玛…玛哈桓那…
派蒙: 可恶！兰那罗的命名法，好难记喔！
旅行者: 「玛哈桓那兰那薜那」？
旅行者: 总之就是梦中的桓那兰那…
兰罗摩: #梦中的桓那兰那，是梦外面的桓那兰那的影子。那菈旅行者解决了外面的问题，梦中就会变得更好。谢谢你们。
派蒙: #原来如此…咳咳，还是讲正事吧！旅行者，关于拉娜的事情…
旅行者: 我们需要「惟耶之实」。
旅行者: 是兰拉娜派我们来的。
派蒙: 我们需要惟耶之实，因为兰拉娜要帮助她很重要的朋友，也是我们很重要的朋友…
黑屏文本: 向两人——应该说是两个兰那罗，说明了个中缘由。
兰拉迦: 惟耶之实吗…老身上一次准备惟耶之实的时候，是好久好久以前。听说，当时那个金色的那菈还在，兰穆护昆达也在。
兰拉迦: 当时老身还有许许多多的故事、许许多多的梦。那是很久以前的故事…
派蒙: （兰拉迦看起来像是要说故事了！）
旅行者: （看看他要说什么吧。）
旅行者: 情况紧急，不能浪费时间了。
兰拉迦: 那些故事，已经不是老身的记忆了，也不应该由老身述说。还是回到惟耶之实的问题上吧。
派蒙: 拉娜因为「无留陀」，受了很严重的伤害，要尽快拿到惟耶之实才行…
兰罗摩: 兰拉娜是很古老很古老的兰那罗，兰迦拉梨很厉害很厉害的！所以，那菈拉娜情况是不会恶化的。毕竟，再怎么说，惟耶之实…
兰拉迦: 你说得不错，有兰拉娜在，那菈拉娜情况不会变化。不过，兰罗摩你要记得，那菈不像树木，他们时间更少，也更容易受伤。
兰罗摩: #也对。嗯！既然是那菈旅行者和派蒙的愿望，又是兰拉娜的朋友、兰拉娜的愿望，那就应该帮忙。
旅行者: 那就麻烦你们了。
旅行者: 有什么需要我们帮忙的吗？
兰拉迦: #话虽如此，结出惟耶之实，需要那菈旅行者和派蒙的帮助…
兰拉迦: 不错，结出惟耶之实，需要那菈的帮助。
兰拉迦: 我们要举办「无忧节」。但还有许多兰那罗，在森林中徘徊。你们有了桓那兰那的气味，应该可以接近他们、让他们回来了。
旅行者: 真的可以这么悠闲吗…
旅行者: 情况明明很危急才对！
旅行者: 好耶，无忧节！
派蒙: 刚刚兰拉迦也说了，那菈的时间没有那么多，应该要尽快取得惟耶之实才对吧？
派蒙: 刚刚兰拉迦也说了，那菈的时间没有那么多，应该要尽快取得惟耶之实才对吧？
派蒙: 不对不对，完全不对啦！现在是过节的时候吗？刚刚兰拉迦也说了，那菈的时间没有那么多，应该要尽快取得惟耶之实才对吧？
兰罗摩: #那菈旅行者、派蒙，惟耶之实的故事中说，要结出健康、强壮、充满力量的惟耶之实，就要过无忧节才行。
兰罗摩: 不管多么悲伤，只要兰那罗的那菈朋友，和那菈的兰那罗朋友，一起欢快地度过无忧节，就能为惟耶之实的结果积累力量。
派蒙: 好吧…虽然好像理由有点勉强，不过就像「兰迦拉梨」很不可思议一样，可能这就是「兰那仪式」或者「兰那节庆」什么的。
兰罗摩: 啊！既然要过无忧节了，应该要把大家叫回来。不久前，兰般度他们去了*水天丛林*。还有兰纳真他们，应该还在*香醉坡*那边…
兰拉迦: #现在大家应该不惧怕那菈旅行者和派蒙了，不妨成为他们的朋友吧。老身曾经拥有过那菈朋友，至今都十分感念。
兰拉迦: 除此之外，还需要你们从「觉树之堂」的「莎兰树」上，*取得「恒素果」*。三枚应该就足够了。
派蒙: 我记一下，觉树…莎兰树…恒…
兰拉迦: #但是老身已经许久不能离开梦了，也不记得觉树之堂在什么地方。就由兰罗摩与那菈旅行者去寻找吧。
兰罗摩: #嗯。和那菈旅行者和派蒙一起冒险！
派蒙: 和兰罗摩一起冒险！
派蒙: 这么说来，维摩庄的事情也让人很在意。能请兰那罗们帮忙调查一下，关于想要危害孩子们的家伙的事情吗？
兰拉迦: 哎呀呀，听上去像是「无留陀的化身」，才能干得出来的坏事。他们不但危害兰那罗，连小那菈也会伤害…
兰罗摩: 维摩庄附近的话，几个太阳和月亮之前，我在*降诸魔山*那边见到了兰利遮。他在调查什么坏事。
兰罗摩: #可能和那菈旅行者和派蒙想要找的坏那菈有关！
派蒙: 嗯嗯，原来如此。毕竟兰那罗神出鬼没，说不定见过什么可疑的事情呢！然后，我们还有不少想了解的事情…
旅行者: 关于「恒素果」…
旅行者: 关于「无留陀的化身」…
旅行者: …之后再说吧。
兰罗摩: 恒素果是充满了梦想和力量的果实！它没有惟耶之实那么强大，但是也很厉害。
兰拉迦: 以恒素果的力量供养「觉王之树」，就能结出惟耶之实。那就是草木的主神种下的伟大之树，也是兰那罗一族的原点。
旅行者: 关于「无留陀的化身」…
旅行者: …之后再说吧。
派蒙: 对呀，刚刚开始就很在意了，因为优丹好像也提过类似的东西…
兰拉迦: 那是很久以前的故事了…
兰拉迦: 在过去，兰那罗行走在大地上，和那菈及万物为友，而林中也没有无留陀。直到在很多很多个月亮以前的一次灾难…
兰拉迦: 有许多归还了沙恒，而无留陀开始在地上肆虐。而丛林终于恢复生机后，兰那罗为了保护自己，将真正的桓那兰那藏在了梦中。
派蒙: 唔…所以无留陀是在那时候开始，就出现的吗？
兰拉迦: 森林本不知死为何物。直到有一天，树想起大地中充满了凋败的花、死去的兽。
兰拉迦: 正如在同一天，大地想起自己曾经或将要吞食漆黑的毒血。河流想到太阳降下，蒸发了所有水的红色的世界。
兰拉迦: 他们明白了，万物都将无可避免地死去。这时，「无留陀」就诞生了。此乃「死」之名，知晓它存在的，终究会死去。
兰拉迦: 无留陀的力量就是令一切走向死。而高大、阴暗、扭曲的东西就是无留陀选中的化身，带来死的使徒。
派蒙: 难怪优丹看到愚人众会觉得害怕…毕竟，又高，又穿着黑色的衣服…
兰拉迦: 当然了，在故事中，无留陀的化身形态是不定的。也许是走兽。也许是飞鸟。也许是那菈。也许是疫病…
兰拉迦: 但故事究竟是故事，那已经不是老身的记忆了。
派蒙: #嗯，旅行者说得也对。如果有什么不明白的，之后再问兰拉迦吧！
派蒙: 对呀，刚刚开始就很在意了，因为优丹好像也提过类似的东西…
兰拉迦: 那是很久以前的故事了…
兰拉迦: 在过去，兰那罗行走在大地上，和那菈及万物为友，而林中也没有无留陀。直到在很多很多个月亮以前的一次灾难…
兰拉迦: 有许多归还了沙恒，而无留陀开始在地上肆虐。而丛林终于恢复生机后，兰那罗为了保护自己，将真正的桓那兰那藏在了梦中。
派蒙: 唔…所以无留陀是在那时候开始，就出现的吗？
兰拉迦: 森林本不知死为何物。直到有一天，树想起大地中充满了凋败的花、死去的兽。
兰拉迦: 正如在同一天，大地想起自己曾经或将要吞食漆黑的毒血。河流想到太阳降下，蒸发了所有水的红色的世界。
