(Quest is part of chapter: 荒落之城的记述人)

# 荒弃的智海

寻找并稳定「象拟聚星」，以开启处于圣城中央的「天轴」…


## Objective 2

(尝试启动「象拟聚星」)


## Objective 3

(尝试启动「象拟聚星」)


## Objective 4

(为「象拟聚星」进行充能)


## Objective 5

(为「象拟聚星」进行充能)


## Objective 6

(为「象拟聚星」进行充能)


## Objective 7

(为「象拟聚星」进行充能)


## Objective 8

(让液态燃素充斥干池中)


## Objective 9

(浸入池中)


## Objective 10

(尝试启动「象拟聚星」)


## Objective 11

(利用「镌光集束」清除深渊)


## Objective 12

(重新启动「象拟聚星」)


## Objective 13

(重新启动「象拟聚星」)


## Talk 14

(重新启动「象拟聚星」)

黑屏文本: 将身躯沉入液态燃素之后，画面犹如温热的记忆直接在脑海之中浮现。
黑屏文本: 流火的焰池旁，银白色的与垩灰覆体的影子进行如下交谈…
黑屏文本 (厚重却疲惫的声音): 「…第二阶段的验证实验结束了，那即将令一切净化与进化的，我称之为『维奇洛波奇特利』，或『天火之荡』…」
黑屏文本 (厚重却疲惫的声音): 「无所谓了，在此地，名字迟早会失去意义。」
浸入池中 (冰冷的声音): 「针对侵蚀，驱动『象拟聚星』进行主动依附，并在受到完全的扭曲前以自毁灭的方式消却深渊的影响…」
浸入池中 (冰冷的声音): 可你如何准确判定受侵蚀的对象，可控的样本…
浸入池中 (冰冷的声音): 你疯了，你在拿你自己做实验？
黑屏文本 (厚重却疲惫的声音): 「这不挺好的，如此一来，现在这破败腐朽的身躯起码也能以这样的方式起到作用。」
浸入池中 (冰冷的声音): …所以，在这个系统启动之后，最不可能存活下来的就是你自己？
浸入池中 (冰冷的声音): 深渊终于把你的脑袋也腐蚀了吗…还是说，你只是想让你的整个族群作你葬礼的殉品？
黑屏文本 (厚重却疲惫的声音): 「你就对你的同族这么没有信心么，除你以外的所有领主都已然同意此事。」
浸入池中 (冰冷的声音): 他们只是愚从你的计划，却从未考量过背后真正的意义…我不会同意的。
黑屏文本 (厚重却疲惫的声音): 「…那也无所谓了，『毁灭』…即是『新生』，我已下定决心。」
黑屏文本 (厚重却疲惫的声音): 「哈…我每日维持清醒的时间就只有这么点了，总之，在一切完备之后，我就会开启它。」
浸入池中 (冰冷的声音): 没有转圜的余地了吗？我在试图找别的方法…你真的不是为了一己的私怨，而将世界推入火海？
黑屏文本 (厚重却疲惫的声音): 「说不定呢，将阴影之大敌阻挡在世界之外，为此我可以不择手段。」
黑屏文本 (厚重却疲惫的声音): 「呵，更何况，别的方法…你真的能从那些『人类』那里寻得你想要的东西吗？你已然陷得太深了…」
黑屏文本 (厚重却疲惫的声音): 「我曾试图让你理解…但就跟通过焰池去知晓智慧的族裔一样，知晓和真正的接受是两码事。」
浸入池中 (冰冷的声音): ……
黑屏文本 (厚重却疲惫的声音): 「如果你认为我只是单纯的想要『毁灭』，而你有自己想构建的世界…那就来阻止我，杀死我，证明给我看吧！」
黑屏文本 (厚重却疲惫的声音): 「但终有一日，这并非预言，库库尔坎，只不过是过来者的劝告…终有一日…」
黑屏文本 (厚重却疲惫的声音): 「你会踏上和我同样的道路。」
