# Materials: MATERIAL_TALENT

## Memory of Eternal Flames

The missing star from the Talents of a Pyro-aligned Traveler.

## Memory of Running Stream

The missing star from the Talents of a Hydro-aligned Traveler.

## Memory of Flourishing Green

The missing star from the Talents of a Dendro-aligned Traveler.

## Memory of Violet Flash

The missing star from the Talents of an Electro-aligned Traveler.

## Memory of Roving Gales

The missing star from the Talents of an Anemo-aligned Traveler.

## Memory of Piercing Frost

The missing star from the Talents of a Cryo-aligned Traveler.

## Memory of Immovable Crystals

The missing star from the Talents of a Geo-aligned Traveler.

## Kamisato Ayaka's Stella Fortuna

Kamisato Ayaka's Constellation Activation Material

## Jean's Stella Fortuna

Jean's Constellation Activation Material

## Traveler (Male)'s Stella Fortuna

Item discarded

## Lisa's Stella Fortuna

Lisa's Constellation Activation Material

## Traveler (Female)'s Stella Fortuna

Item discarded

## Barbara's Stella Fortuna

Barbara's Constellation Activation Material

## Kaeya's Stella Fortuna

Kaeya's Constellation Activation Material

## Diluc's Stella Fortuna

Diluc's Constellation Activation Material

## Razor's Stella Fortuna

Razor's Constellation Activation Material

## Amber's Stella Fortuna

Amber's Constellation Activation Material

## Venti's Stella Fortuna

Venti's Constellation Activation Material

## Xiangling's Stella Fortuna

Xiangling's Constellation Activation Material

## Beidou's Stella Fortuna

Beidou's Constellation Activation Material

## Xingqiu's Stella Fortuna

Xingqiu's Constellation Activation Material

## Xiao's Stella Fortuna

Xiao's Constellation Activation Material

## Ningguang's Stella Fortuna

Ningguang's Constellation Activation Material

## Klee's Stella Fortuna

Klee's Constellation Activation Material

## Zhongli's Stella Fortuna

Zhongli's Constellation Activation Material

## Fischl's Stella Fortuna

Fischl's Constellation Activation Material

## Bennett's Stella Fortuna

Bennett's Constellation Activation Material

## Tartaglia's Stella Fortuna

Tartaglia's Constellation Activation Material

## Noelle's Stella Fortuna

Noelle's Constellation Activation Material

## Qiqi's Stella Fortuna

Qiqi's Constellation Activation Material

## Chongyun's Stella Fortuna

Chongyun's Constellation Activation Material

## Ganyu's Stella Fortuna

Ganyu's Constellation Activation Material

## Albedo's Stella Fortuna

Albedo's Constellation Activation Material

## Diona's Stella Fortuna

Diona's Constellation Activation Material

## Mona's Stella Fortuna

Mona's Constellation Activation Material

## Keqing's Stella Fortuna

Keqing's Constellation Activation Material

## Sucrose's Stella Fortuna

Sucrose's Constellation Activation Material

## Xinyan's Stella Fortuna

Xinyan's Constellation Activation Material

## Rosaria's Stella Fortuna

Rosaria's Constellation Activation Material

## Hu Tao's Stella Fortuna

Hu Tao's Constellation Activation Material

## Kaedehara Kazuha's Stella Fortuna

Kaedehara Kazuha's Constellation Activation Material

## Yanfei's Stella Fortuna

Yanfei's Constellation Activation Material

## Yoimiya's Stella Fortuna

Yoimiya's Constellation Activation Material

## Thoma's Stella Fortuna

Thoma's Constellation Activation Material

## Eula's Stella Fortuna

Eula's Constellation Activation Material

## Raiden Shogun's Stella Fortuna

Raiden Shogun's Constellation Activation Material

## Sayu's Stella Fortuna

Sayu's Constellation Activation Material

## Sangonomiya Kokomi's Stella Fortuna

Kokomi's Constellation Activation Material

## Gorou's Stella Fortuna

Gorou's Constellation Activation Material

## Kujou Sara's Stella Fortuna

Kujou Sara's Constellation Activation Material

## Arataki Itto's Stella Fortuna

