# 斑斓色彩追逐战

## Talk 0

Missing text (0)

## Talk 1

班尼特: #状态怎么样，旅行者？我们继续引导阿夏收集染料？

Option 1:

> 旅行者: 一起加油吧！
> 班尼特: 好！和你一起冒险，每次都干劲满满！

Option 2:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 没想到的道具…
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 这么一说确实有道理。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 听起来工艺也不复杂？
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 3:

> 旅行者: 附近还有别的朋友吗？
> 班尼特: 这个，如果是说以前打过交道的冒险家朋友，那他们都心满意足，跟着老爹们回去了啦。
> 班尼特: 还留在纳塔的，只有和我们同乘一支车队来玩的几位蒙德游客。
> 班尼特: 不过，有一位长着角的…摔角手？找了过来，向我询问，有没有见过一个戴帽子的女孩…
> 班尼特: 听说那位摔角手是「沃陆之邦」重要的战士，之前还在「龙脊雪山越野赛」拿了不错的名次。
> 班尼特: 也许，在我们没注意到的地方，不少蒙德人都和纳塔人交上朋友了？

Option 4:

> 旅行者: 待会儿再来。
> 班尼特: 嗯，我们等着你！

Option 5:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 为什么是这个？
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 这么一说确实有道理。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
> 班尼特: 比须弥的跳跳菇还有弹性的护具，就完工了！据说有了它，一天爬两回图兰大火山，关节和脚底都不会受伤！
> 旅行者: 听起来工艺也不复杂？
> 班尼特: 哎呀，换在其他地方，我在熬煮的那一环，就会败下阵来。
> 班尼特: 要么是锅里混进去不知道什么成分，煮到一半就变质，要么就是整口锅都炸掉，碎片到处乱崩…
> 班尼特: 如果我自己去买，尺码合不合适另说，十有八九会买到次品。
> 班尼特: 关键，也不是老板有意卖给我劣质货，而是他们自己都没检查出问题…我只能自认倒霉。
> 班尼特: 所以以前，我还从没搞到过好用的护具呢，这事说大也不大，说小，也还确实对冒险的体验有影响。
> 班尼特: 这次来度假村，我就地取材，总算做出了最满意的作品…
> 班尼特: 真是太舒心了…原来踏上好用的鞋垫，戴上弹性正合适的护膝再跑步，是这种感觉！

Option 6:

> 旅行者: 还有什么好消息吗？
> 班尼特: 这个呀，让我想想…
> 班尼特: …在纳塔，我的运气实在太好了，所以可以尝试许多以前不敢深入研究的事…
> 班尼特: 比如——给自己做一组超合适的冒险护具！护腕护膝绑腿和鞋垫都要有！
> 旅行者: 没想到的道具…
> 班尼特: #旅行者也要留意哦，冒险的过程中，保护关节和双脚是一等一的大事。
> 班尼特: 背着重物爬坡，会对膝盖持续施加压力，通过崎岖的地形时，要防止一脚没踩稳，扭伤脚踝…
> 班尼特: 长途步行中，双脚也有可能比双腿先撑不住，需要有效避免疲惫，甚至是无形受伤。
> 班尼特: 减震和保护作用都不错的护具，就能在这种时候派上用场。
> 旅行者: 平常没怎么注意过。
> 班尼特: 长远来看，对自己有利的道具，永远不嫌多嘛！
> 班尼特: 也可以听听普通冒险家们许多年来不断试错，总结出的窍门——
> 班尼特: 把诸如嘟嘟莲和肉龙掌一类的植物，切成小块后，捣碎在面粉里，放进锅中，加入磐石精油熬煮两天。
> 班尼特: 然后倒进模具，放在冰雾花旁边冷却一晚，稍微修修外形，削去不平的地方…
