# Talk Group: ActivityGroup - 5012

## Talk

立本: 好久不见啊，小友！
旅行者: 立本！真是好久不见了！
立本: 嘿嘿，还是小友热情…我没有变得更沧桑吧？
旅行者: 还是老样子。
立本: 那就好，这回差点回不来了。
旅行者: 你去纳塔蹚过了吗？
立本: 没有啊，听说纳塔的局势很紧张，我特意避开，换了个地方，去了挪德卡莱。
立本: 小友你去过挪德卡莱吗？
旅行者: 还没去过。
立本: 哦？那我可以和你讲讲了。
立本: 挪德卡莱在至冬的南端，那儿聚集了天南海北的人，不知道的还以为遍地都是发财的机会。
立本: 但是去了才知道，那地方野得很，有一套自己的秩序。
旅行者: 自己的秩序？
立本: 这么说吧，我还没进城门，在路上就被一伙流民打劫了，欺负我人生地不熟啊。
立本: 那儿也没有骑士团、审判庭之类的，有人让我去「伏尼契商会」看看。
立本: 说是他们当地最大的势力，说不定能给我主持公道。
立本: 我本来半信半疑着，没想到，商会的人麻溜地帮我把货找回来了，还全部收购了，真了不得啊。
立本: 见到这么多摩拉，可把我高兴坏了，数了好几遍。
立本: 生意做成了啊！太好了！
立本: 别提啦，再次出了城门，我又遇到了一伙流民，把我兜里的摩拉全抢光了，一个子儿也没剩下。
旅行者: 可能他们在城里就盯上你了…
立本: 唉！大起大落是我立本的人生常态了，反正短时间内，我可不会再去啦。
立本: 小友要是打算去挪德卡莱，千万要小心。兜里的摩拉要看好，别随便让人知道你揣着一大笔钱啊。
旅行者: 我会注意的。
立本: 那这次，咱们还是老样子？
旅行者: 你也多小心啊。
立本: 那怎么会差点回不来呢？
旅行者: 那是什么地方？
旅行者: 变得更亲切了。

## Talk

立本: 是你啊，有什么事情吗？

## Talk

旅行者: 想领取奇货匣。
立本: 今天需要的东西是这样的。

## Talk

旅行者: 想领取奇货匣。
立本: 今天的已经兑换过了。其他的奇货匣可以随意查看，都是好东西。

## Talk

旅行者: 再介绍一下你自己？
立本: 我叫立本，曾经是一个奇货商人。
立本: 最近在做一些好买卖。
立本: 前段时间我刚跑了去挪德卡莱的商路，盘算着能发一笔小财。
立本: 结果…看到我还在这里，你就知道发财失败啦！
旅行者: 你说的生意是…
立本: 我会用这些装了各种宝贝的奇货匣子来兑换一些食材原料、日用百货。
立本: 这些匣子里的东西都是我奇货商时期的家底，绝对童叟无欺。
立本: 至于你问为什么弄成随机红包？
立本: 好像很多人喜欢这口，弄成这样大家好像就更有干劲了。
旅行者: 那你怎么赚钱呢？
立本: 不然我下次还是去探探纳塔的生意吧。
立本: 或者雇佣几个保护的人，再跑一趟挪德卡莱也不是不行。
立本: 说实话，我也有点累了…
立本: 歇一阵子再做打算吧！

## Talk

旅行者: 再见。
立本: 回见。
