# Talk Group: GadgetGroup - 583004

## Talk

派蒙: 我们找到一张纸，上面写了好多名字，这是不是用来记录的东西？
迪希雅: 给我看看。既然是商队，记录账务必不可少。
迪希雅: 嗯…果然没错，「阿赫玛尔之须」，库塞拉，伊德里西，巴沙尔，提克里蒂…
迪希雅: 全都是熟悉的名字，他们在贸易中拿到了充足的食物，武器，还有药物，之前还有罐装知识。
迪希雅: 这个商队只是物资转运的其中一环，他们把赃物带去雨林换成钱，再把钱交到指定的人那里。
迪希雅: 指定人为他们送来物资，他们再带回来，给「阿赫玛尔之须」的人…
迪希雅: …奇怪了，为什么最后送物资这里，没有记录金额？
派蒙: 没有金额？
迪希雅: 是啊，之前的每一笔交易，金额都很清楚，但最后的物资，只有「送抵」这样的简单记号。
旅行者: 可能和转交赃物的那笔钱抵销了？
迪希雅: 有点道理，可能是吧，但赃物能卖多少钱也不知道，他们做生意这么不在意零头吗？
迪希雅: 算了，接下来是物资的来源记录了，应该都是从雨林那边来的吧，有好多好多。
迪希雅: 啊…
派蒙: 怎么了？
迪希雅: 沙扎曼·呼玛伊…
派蒙: 呼玛伊？迪娜泽黛家的那个呼玛伊？！
派蒙: 有、有没有可能是重名呢？
迪希雅: 总不能姓和名都重合吧，沙扎曼，就是迪娜泽黛的父亲，呼玛伊家的老爷。
迪希雅: 这到底是…怎么回事…
旅行者: 冷静点，迪希雅。
迪希雅: 抱歉，你说得对，我先缓一缓，先把信息整理清楚。
迪希雅: 根据纸条上的内容可以确定的是，呼玛伊家为「阿赫玛尔之须」提供了物资。
派蒙: 说不定只是正常的交易，呼玛伊家不知情呢？
迪希雅: 也有这种可能，但如果只是正常的交易，为什么这个商队要专门向指定的人购买呢？
迪希雅: 直接在喀万驿或者奥摩斯港，就能够购入这些东西。
旅行者: 如果知情的话…
迪希雅: 嗯…对暴力与劫掠行为的「资助」。而指定人拿到的货款，则会被视为「回馈」。
派蒙: 那、那动机呢？为了钱？迪娜泽黛家根本不缺钱吧。
迪希雅: 不知道…
迪希雅: 我时常进出呼玛伊家，并没有观察到什么不对劲的情况。
迪希雅: 要说摩拉的话，我只能想到，魔鳞病的治疗需要大量的费用…或许，是要偿还借款？
迪希雅: 但这只是猜想，我认为老爷他还不至于要用这种办法赚取摩拉。
旅行者: 感觉迪娜泽黛也不知情。
迪希雅: 嗯，小姐她不像是知道这件事的人，我了解她的为人，她不会对我们刻意隐瞒。
派蒙: 可是我们现在要怎么办呢？需要调查的谜团，又多了一个。
旅行者: 如果打算彻查，就没有退路了。
迪希雅: 嗯…
迪希雅: 在我看来，是「已经」没有退路了。
迪希雅: 没事，我相信老爷和小姐，现在做判断还为时尚早。
迪希雅: 我们回去见一见小姐吧，把这件事从头到尾都告诉她，看看她愿不愿意帮我们的忙。
迪希雅: 说不定，我们不仅能弄清这张货单的事，还能顺藤摸瓜，找到「阿赫玛尔之须」那帮人。
派蒙: 唔…这样真的好吗？也有可能得不到帮助，还走漏了风声…
迪希雅: 嗯，但就算这样，我也想告诉她目前的状况。我觉得这是朋友之间的信任。
迪希雅: 临行之时，她很担心我，我不能用怀疑和戒备回应她的真心。
迪希雅: ——这不符合我的做事原则。
派蒙: 那…好吧，其实我也很愿意相信她。
旅行者: 希望能帮到她。
迪希雅: 嗯，我们走吧，回须弥城。
旅行者: 就很可能是一种「资助」吧。
旅行者: 我们先好好分析一下。
