# Talk Group: NpcGroup - 20479

## Talk

大岛 (？？？): 你先别管书不书、冤枉不冤枉的事情了。赶紧去找安贞吧！
派蒙: 安贞？
大岛: 啊，就是和我们一起被关在这里的第三个人。我叫大岛，他叫安提戈努斯，鸣神岛式的名字叫做安贞。
大岛: 他也是地走官的候补，性格刚烈，体能超群。他就是抓着悬崖的一点点小凸起爬上去逃走的。
大岛: 很恐怖吧。这正常人能办到吗？
旅行者: 好像我也办得到。
大岛: 你们这群志愿当上地走官的家伙，在我心里已经锻炼到不算人类了。
大岛: 我听说地走官的试炼，要求候选人双手抱起一只脚，然后站在圆圈里。
大岛: 其余的十二个地走官开始拿枪扎他，如果他一夜没有受伤就算是合格。
大岛: 你既然也是地走官候补，你告诉我是不是真的？
旅行者: 据我所知是假的…
大岛: 不会吧。地走官测试难道更加夸张吗？
大岛: 快给我讲讲！
旅行者: 安贞的事情不是更急吗…
大岛: 对、对哦。咳咳…
大岛: 他说他会一路留下什么「尼奥」的图案做标记。
大岛: 是渊下宫没有的生物。会飞，有翅膀，象征自由什么的。
派蒙: 那不就是鸟吗？
大岛: 对对。是这个名字，「鸟」。
大岛: 他和我说了他的计划。等他爬上去拿到事先准备好的装备，就会去蛇心之地。他说他有一些坎瑞亚使节团的线索。
大岛: 他承诺说赌上性命也要证明我们三个的清白。晚些时候要是官员或者巫女来找我们俩，把他们指到蛇心之地去。
大岛: 就算他倒下了，他也要用鸟的图案留下线索，把来者引向能证明我们三人清白的证据那里。
大岛: 如果不出意外，你们顺着鸟图案就能找到他。
大岛: 人命关天，快点去吧。

## Talk

大岛: 快去找安贞吧。然后把他带回来，再把我们合理合法地放了。
