# Talk Group: GadgetGroup - 356002

## Talk

决斗代理人评价栏目: 全新企划现已开启，震撼玩具等你探索，火爆预购进行中，快留下您的宝贵建议。——莱舒的发条工坊。

## Talk

决斗代理人评价栏目: 愤怒的留言
决斗代理人评价栏目: 「又来预购？又来抢先体验版？莱舒的发条工坊已经大不如前了，别被骗钱，大家快跑。」

## Talk

决斗代理人评价栏目: 诚恳的留言
决斗代理人评价栏目: 「杰作。无可挑剔的。毫无置疑的。令人泪目的。此生必玩的。我这么说大家心里有数了吧？」

## Talk

决斗代理人评价栏目: 标准的留言
决斗代理人评价栏目: 「我朋友就在制作团队，打听了一下，这个企划内部代号001，老板亲自带队，神作预定。」

## Talk

决斗代理人评价栏目: 匆忙的留言
决斗代理人评价栏目: 「我朋友就在制作团队，打听了一下，这个企划内部代号001，老板亲自带队，神作预定。（一条五百摩拉）」

## Talk

决斗代理人评价栏目: 兴奋的留言
决斗代理人评价栏目: 「决斗代理人是个好题材，还没玩过这种，一定要提供换装玩法！清凉一点的！」

## Talk

决斗代理人评价栏目: 专业的留言
决斗代理人评价栏目: 「看了下玩具战斗模块的设计，跟普通的冒险家玩具差不多，没有体现决斗代理人的特色。」
决斗代理人评价栏目: 「玩具关节的灵活度来自于一万次的水下冲刺模拟，这块也不明所以，哪个决斗代理人是在水下训练的？」
决斗代理人评价栏目: 「感觉就是个换皮玩具，没有诚意，没有灵魂。总体评价是：不如隔壁勒波特钟表店。」

## Talk

决斗代理人评价栏目: 意外的留言
决斗代理人评价栏目: 「相比之下，我对店门口那几只企鹅更有兴趣。希望店家能够联系我，有合作可以谈谈。」

## Talk

决斗代理人评价栏目: 字迹可爱的留言
决斗代理人评价栏目: 「这里是美露莘精灵，所有看到这条留言的朋友都可以免费得到一只美露莘~」

## Talk

决斗代理人评价栏目: 更多…

## Talk

决斗代理人评价栏目: 离开

## Talk

决斗代理人评价栏目: 更多…
