# Talk Group: GadgetGroup - 501003

## Talk

部族公告: 「此为部族事务公告板，花羽会内部重要事务均在此公示，如有疑问也可在此留言。」
部族公告: 「如有紧急事务，可与飞行队联络，或直接与首领穆托塔沟通。」

## Talk

旅行者: 继续阅读

## Talk

旅行者: 离开

## Talk

「簇花圃」广告: 「耗费五千万摩拉、历经数年时间精心搭建的全新射击训练场地『簇花圃』现已完成，并将于三日后开放，欢迎各位前来体验！」
「簇花圃」广告: 「入场费用仅需七千摩拉，一次付款，终身有效！快来挑战自己的极限吧！」
留言: 「七千是不是太贵了？只是射击训练，看上去也没有什么新意…」
另一人的留言: 「不不不，你再想想，搭建场地花了那么多摩拉，而且用了好几年，要是真的不如人意，不早就被叫停了吗？」
留言: 「也是喔，反正是终身有效…」

## Talk

部族公告: 「『游靶气球』训练项目现已对外开放，欢迎各位随时前来精进射击技艺。」
部族公告: 「本项目不设门槛，任何希望磨砺自身的战士，都可以在此体验与飞行队员同等级的精锐训练。」
部族公告: 「来自首领穆托塔的备注：出于安全考虑，在极端天气情况下，本项目将会暂停开放，还望各位挑战者见谅。」

## Talk

部族公告: 「燃素工学飞行装置存在重大安全隐患，现暂时限制个人使用。」
部族公告: 「如有必要用途，请向首领穆托塔报告。该规定适用于飞行队。」

## Talk

「簇花圃」公告: 「由于实际训练效果并未达到预期，本训练场地即日起将无限期关闭，重新开放时间另行通知。」
「簇花圃」公告: 「入场费用已退回，感谢各位的支持，希望各位谅解我们的决定。」
留言: 「虽然能把摩拉退回来是好事啦…但这好像还不到两个星期吧？」

## Talk

部族公告: 「『花羽会』的战士们！征战的号角已经吹响，夺取荣耀的时刻已经到来——『归火圣夜巡礼』即将举办！」
部族公告: 「万众瞩目的『调停人』恰斯卡本次也将再度出战，期望各位以她为榜样，不断超越极限，在挑战中赢取至高的荣耀！」
部族公告: 「务必铭记，世间没有禁锢『花羽会』的枷锁，也没有她的后嗣无法突破的『极限』！」

## Talk

部族公告: 「『花羽会』的战士们，感谢你们的付出与牺牲，得益于此，我们才能赢得这场胜利。」
部族公告: 「从本公告发布的即日起，『花羽会』将从战时状态中结束，飞行试炼的规则也将恢复。」
部族公告: 「飞行队的成员们请按照新的巡逻和训练计划，进行轮班和休息。」
部族公告: 「虽然深渊已经被击败，但仍有其他可能存在的威胁。请大家不要完全放松，不要忘记身为战士的骄傲，时刻砥砺自己。」

## Talk

不具名的留言: 「特拉洛坎的子嗣啊，请聆听我的声音。」
不具名的留言: 「圣火熄灭后的天空是如此的幽暗，人们是多么无助。」
不具名的留言: 「胜利乃是勇士的勋表，『超越』方才是英雄的道途。」
不具名的留言: 「合颂的诗句会给予『杜{RUBY#[D]希望}麦尼』力量，让纳塔的声援直抵夜的最深处…」
