# Talk Group: ActivityGroup - 5173

## Talk

旅行者: 我就不能是打工的人吗？
狗三儿: 什么？来接差事的工人？那你有点不走运…
狗三儿: 能在这间仓库接到的工作，除了看门和货物的保养，主要就是搬货了。
狗三儿: 在码头和仓库之间来回搬货可不轻松，一般来说，白天搬货的单子都给了常年在码头正式工作的弟兄们。
狗三儿: 只有夜晚的差事才会分给有空打零工的人，要是处理不完，再留给其他弟兄。
狗三儿: 但最近来了个又高又壮，脑袋上戴着红色尖角的大兄弟，干活特别勤快。
狗三儿: 那个大兄弟好像根本不会累，一人干了差不多三个人的活，每晚只做三小时的差事，就能赚到不少摩拉。
狗三儿: 他倒也挺通情达理，和我们好好解释了一番，说是最近急着用钱，只会这样干几天，不会长期抢别人的单子。
狗三儿: 所以你最近深夜来做工，也接不到什么活了。

## Talk

「且听下次复盘」: 朋友，你也要参加荒泷帮主的「甲光烈烈斗虫大修行」？
旅行者: 来场斗虫吧！
「且听下次复盘」: 如此甚好！之前的较量那叫一个精彩，我正打算仔细复盘！就劳烦你顺着荒泷帮主的思路再和我斗上一局了！
旅行者: 关于斗虫的门道…
「且听下次复盘」: 不错，这个话题，可以仔细扯掰扯掰！
「且听下次复盘」: 璃月也有不少斗虫的游戏，相比这鬼兜虫，各有重点和特色。
「且听下次复盘」: 比如争一个灵巧，或是谁的虫叫声更高昂。
「且听下次复盘」: 每种斗虫都暗藏玄机，稍稍添上几笔墨，改编成故事，指定能给各位老主顾好好说上几回！
旅行者: 告辞！
「且听下次复盘」: 那就下回再见了！

## Talk

「恐怖猫爪草」: 你们还要和畅畅玩游戏吗？
旅行者: 那就开打吧！
「恐怖猫爪草」: 好哦！我要和你好好学一学，那个…白什么小什么瓜的打法！
旅行者: 关于你的称号…
「恐怖猫爪草」: 啊？你是说「恐怖猫爪草」吗？
「恐怖猫爪草」: 只是因为爸爸以前给畅畅带回来过一种盆栽，每天晚上，畅畅把它放在窗边，结果第二天一早，它就跑到屋顶上去了。
「恐怖猫爪草」: 有人说，半夜看见过畅畅的盆栽，就像猫猫一样爬上了墙…
「恐怖猫爪草」: 后来才知道，原来，城里有只猫猫很喜欢那种盆栽，把它叼走了。
「恐怖猫爪草」: 不知为什么，这件事传到别人嘴里，就变成了「畅畅把盆栽养成了猫」。
「恐怖猫爪草」: 畅畅倒是无所谓，不过那个…「花椒鱼酱」…听说了这件事，觉得畅畅的外号很威风，还找畅畅来玩这个游戏…
「恐怖猫爪草」: 畅畅玩得开心，还想继续玩！
旅行者: 再见！
「恐怖猫爪草」: 嗯，那就再见了！

## Talk

