# Talk Group: ActivityGroup - 5079

## Talk

胡塞尼: 现在就开始「普尔希娜光钉」的试运行吧，没关系，我会在旁边看着你操作的。

## Talk

胡塞尼: 开启「普尔希娜光钉」吧，不过注意，一定小心黑泥和靠近的怪物，避免「普尔希娜光钉」停止运作。

## Talk

胡塞尼: #只能在这里先启动光钉，清理黑泥了。旅行者，小心别让「普尔希娜光钉」受损了。

## Talk

老图: 要是你想开始搬运，启动热气球就行了。
阿昊: 嗯…路上黑泥啊怪物啊那么多，你自己得小心啊。

## Talk

胡塞尼: 希望用热气球搬运「普尔希娜光钉」能够成功。

## Talk

胡塞尼: 在地脉接洽的黑泥喷口启动「普尔希娜光钉」，肯定会产生相当大的影响，你自己一定要多多注意。

## Talk

胡塞尼: 为了测算岩层的各项参数，还要取岩石样本来进行实验才行。
胡塞尼: 不能有负「教令院」之名啊…

## Talk

胡塞尼: 嗯…那些矿工真是格外可靠，将光钉从营地周围搬到这里的时候步伐平稳地不可思议。
胡塞尼: 希望之后他们将光钉搬下矿道的时候也能这样顺利。

## Talk

胡塞尼: 黑泥还在逐渐泛滥，不能让这种情况继续下去…
胡塞尼: 有什么不接触地面就能将「普尔希娜光钉」运送进去的办法吗？

## Talk

老图: 咳咳…虽然还有点不舒服，不过至少比在矿区的时候好多了。

## Talk

阿昊: 那个黑泥究竟是个什么东西，不小心碰一下，就感觉自己半边身子都凉了…咳咳…
阿昊: 不会留下什么后遗症吧…

## Talk

胡塞尼: #啊，旅行者，要调试完「普尔希娜光钉」还需要一段时间。

## Talk

老图: 怎么样，清理黑泥的过程还顺利吗？
老图: 要有什么力所能及能帮上的，就随时跟我说！

## Talk

阿昊: 希望黑泥能快点清理掉吧。
阿昊: 唉…不知道什么时候能恢复到以前，大家一起下矿时那样啊…

## Talk

胡塞尼: 终于帮海迪夫解决了这次黑泥泛滥的问题…
旅行者: 你好。
胡塞尼: #…你好啊，旅行者，今天过得如何？
胡塞尼: 回想起来，算上这一次，每一次你都帮了我很大的忙
胡塞尼: 「导能圆盘」那次，在鹤观进行特殊遗迹重机观察的那次，还有这次在层岩巨渊。
胡塞尼: 每次都是些危急或者复杂的情况，但是正因为你出现，最后都能有一个好结果。
胡塞尼: 这么想，真不知道是你的运气好，还是每次都能遇到你的我运气好呀…
旅行者: 关于自传…
胡塞尼: 只是随口说说的，我现在离能够写自传的等级还远。
胡塞尼: 更何况，还有许多研究课题等着我去攻克，你想，要是我多攻克一个研究课题，自传就能多写上几页。
胡塞尼: 所以自传这个东西，肯定是越晚写越划算。
旅行者: 关于海迪夫…
胡塞尼: 你是想问为什么会接受海迪夫的委托，来层岩巨渊帮忙吗？
胡塞尼: 你知道「普尔比鲁尼」吗，海迪夫是「普尔比鲁尼」一门的学者。
胡塞尼: 在「教令院」的时候，我曾经接受过「普尔比鲁尼」一门很多的帮助，受他的委托前来，其实也算是一种报答。
胡塞尼: 算是正常的人情往来吧，单一领域的学者有的时候并没有办法解决所有的问题，所以需要不同的学者一起研究，
胡塞尼: 这也是一种构建学者之间关系的方式。
旅行者: 祝你顺利，再见！
胡塞尼: 谢谢你的祝福，再见！
胡塞尼: 希望真的能顺利一些吧…
