# Talk Group: GadgetGroup - 545002

## Talk

选手休息室公告: 请各位选手严格遵守竞技规则，共同维护每场赛事的公正性！
选手休息室公告: 此外，在此等待通知时，请保持耐心，切勿大声喧哗。

## Talk

旅行者: 继续阅读

## Talk

旅行者: 离开

## Talk

竞技规则: 请注意，无论参与「归火圣夜巡礼」还是其他竞技赛事，选手们进行对抗时，都仅能使用报名时登记在案的武器与道具。
竞技规则: 正式比赛中，选手需要在上台前接受基本的安全检查。
竞技规则: 若是在场上展现未经登记的武器与道具，将被判为输掉比赛，并需接受调查…

## Talk

竞技规则: 上台比赛前，请各位选手谨慎评估自身的健康状态，切忌强行登台竞技。
竞技规则: 如遇身体不适，请及时向管理员反馈，以便我们尽早更改相关赛事的时间安排…

## Talk

竞技规则: 比赛过程中，请各位选手务必听从裁判指示。
竞技规则: 在裁判宣布比赛开始前，以及正式确认比赛结束后，切勿进行战斗。
竞技规则: 同时，在裁判认为当前比赛出现异常，要求暂停时，请及时停止战斗，配合调查。
竞技规则: 竞技并非纷争，希望各位选手在公平公正的较量中决出胜负，点到即止…
