+---------------------+---------+--------+---------+--------+
| Content Type        | Success | Errors | Skipped | Issues |
+---------------------+---------+--------+---------+--------+
| agd_artifact_set    | 65      | 0      | 1       | 0      |
| agd_creature        | 12      | 0      | 0       | 0      |
| agd_quest           | 2419    | 0      | 1953    | 3867   |
| agd_character_story | 120     | 0      | 0       | 1      |
| agd_subtitle        | 299     | 0      | 11      | 0      |
| agd_material_type   | 85      | 0      | 0       | 1018   |
| agd_achievement     | 73      | 0      | 0       | 0      |
| agd_voiceline       | 120     | 0      | 0       | 0      |
| agd_talk_group      | 4317    | 0      | 215     | 468    |
| agd_hangout         | 144     | 0      | 0       | 313    |
| agd_anecdote        | 132     | 0      | 3       | 6      |
| agd_blossom         | 8       | 0      | 0       | 0      |
| agd_activity        | 12      | 0      | 0       | 4      |
| agd_book            | 953     | 0      | 103     | 33     |
| agd_weapon          | 249     | 0      | 32      | 0      |
| agd_wings           | 18      | 0      | 0       | 0      |
| agd_costume         | 30      | 0      | 0       | 0      |
| agd_readable        | 15      | 0      | 29      | 0      |
| agd_talk            | 9       | 0      | 242     | 78     |
| TOTAL               | 9080    | 0      | 2589    | 5788   |
+---------------------+---------+--------+---------+--------+
