# Talk Activity Group: 2034

## Talk

多莉: 这次的委托又耗财又费力，你可一定要记住桑歌玛哈巴依老爷我的好啊！

## Talk

莱依拉: 想要归纳星星相互作用产生的影响么…真是个棘手的课题。
旅行者: 节日愉快，另一个莱依拉。
莱依拉: 被发现了呢…但如你所见，现在的「莱依拉」可愉快不起来。
莱依拉: 截稿日撞上花神诞祭，研究的又是颇为复杂的「星相问题」…难怪她最近的梦游症状又加重了。
旅行者: 有什么我能帮忙的吗？
莱依拉: 很遗憾，庞杂精密的计算无法假手他人。如果可以的话，请多来看看她吧，我想她见到你会很开心的。
旅行者: 节日愉快，「星空的赐福」。

## Talk

#{REALNAME[ID(1)|HOSTONLY(true)]}: 哦？真是稀罕，节日期间还有人往教令院跑？
旅行者: 你不也是…
#{REALNAME[ID(1)|HOSTONLY(true)]}: 当其他人都去享受节日的时候，也就这里能寻个清净。
#{REALNAME[ID(1)|HOSTONLY(true)]}: 你们去玩吧，别告诉其他人我在这里就行。
#{REALNAME[ID(1)|HOSTONLY(true)]}: 难得的「节日」，也让我依自己喜欢的方式去过。
旅行者: 你不去玩吗？
#{REALNAME[ID(1)|HOSTONLY(true)]}: 我在你心里什么时候变成了会去和大家牵着手逛街跳舞的样子？

## Talk

内嘉: 妮露！待会儿排练完之后，要一起去吃甜点吗？普斯帕咖啡馆在花神诞祭期间推出了限定新品哦！
妮露: 欸…？我…我还是不去了吧…马上就是花车巡游了，我要节制一些…
内嘉: 是吗？真可惜…听说那边的帕蒂沙兰布丁最近买一送一呢。
妮露: 欸…？
内嘉: 米圆塔好像也是第二份半价…
妮露: 唔…
内嘉: 还有千层酥酥的糖浆口味…
妮露: 唔…！别，别再说了啦…我陪内嘉你一起去就是了嘛…

## Talk

雷萨: 你好，我是奥摩斯港的港务主管。如果有什么关于贸易的问题，来找我或者我的秘书官都可以。
雷萨: 草神大人的生日真是吸引了不少国外的新船队啊。经济繁荣当然让人开心，但也容易滋生新的问题…
雷萨: 哎，我在说什么不吉利的话呢。想要更多的利益自然要承担更大的风险。
雷萨: 和国外的商队交流也很有意思，学到了不少新知识呢。

## Talk

费罗兹: 噢哟，你又是哪来的小甲虫？来给小吉祥草王庆祝生日吗？
费罗兹: 那听我一句劝，看到在路上乱跑的小枣椰，最好绕路！
费罗兹: 这帮流着鼻涕的小东西根本不看路，手上还粘着黏糊糊的糖…
费罗兹: 别问我是怎么知道的！

## Talk

阿拉比: 你好，最近的须弥很热闹吧？
阿拉比: 虽然我很想静下心来观察海洋，但有时人们庆祝和玩闹的声音比海浪声还大。
阿拉比: 这下更得小心了，万一有海兽想来给草神大人庆祝生日，却不小心把灯塔撞翻了怎么办。
阿拉比: 我可得注意提醒海兽呀，哈哈。
阿拉比: …那个，别当真！我开玩笑的！

## Talk

娜斯米儿: 在这个充满花香的节日里，大家都喜欢喝甜甜的东西呢！
娜斯米儿: 怎么样，客人要来点店里新到的甜酒吗？

## Talk

罗莎娜: 是来和花车合影的客人吗？请便。
罗莎娜: 不，花车自然和本店无关。它的巡游终点在这附近，于是就暂留在这里供大家观赏而已。
