# Talk Group: ActivityGroup - 2019

## Talk

白术: 这海灯节真是一年比一年热闹了啊，这音乐…嗯…
七七: 白先生，药我带上了。要送给谁？
白术: 送给那些歌唱家。
白术: 在音乐会上表演可是件累人的事，得及时用点好药，保养保养嗓子。
七七: 所以…白先生才连夜配了这么多份药。
白术: 呵呵，「玉衡星」派人千叮咛万嘱咐…我怎么敢怠慢呢。
白术: 让我再检查检查，这份药是…

## Talk

烟绯: 姥姥，您弹琴真好听，您也教教我呗？
萍姥姥: 我看你这孩子就是闲不下来…
萍姥姥: 好不容易过节休息休息，怎么还缠着我教这教那的…
烟绯: 放心吧姥姥，我学东西快得很！
烟绯: 我这不是想要早点学会，今后还能陪您一起合奏嘛。
烟绯: 为了我的演奏能够衬得上您编的旋律，您可不要藏私哦？
萍姥姥: 好好好…先帮我把茶水续上，放边上凉一凉。
烟绯: 好咧，姥姥！

## Talk

辛焱: 好，我得抓紧时间写新曲子了！
云堇: 你呀，刚圆一个梦，又找到新的目标了？
辛焱: 你不也这样吗，我猜你把新戏的名字都想好了吧？
云堇: 呵呵…还是辛焱懂我。
云堇: 《渡舟寻仙》…听着如何？
辛焱: 噢！好有画面感。
云堇: 这点题的一句我也想好了，就叫它「钧天广乐，云间彻响」。

## Talk

德沃沙克: 太棒了…实在是太棒了…
旅行者: 关于演出…
德沃沙克: 嗯，听到云间有乐声传来的时候，我整个人都快呆滞了。
德沃沙克: 它对我来说具有某种「魔力」…唔，或许该说是「仙力」？
德沃沙克: 最后的合奏也非常震撼！要不是我人还在舞台上，可能都会哭出来。
旅行者: 关于今后的安排…
德沃沙克: 「天权星」凝光小姐，邀请我之后去玉京台，详细探讨长期计划。
德沃沙克: 真希望一切顺利，未来也能有这样的合作机会。
德沃沙克: 到时候你可一定要来啊！我给你留最好的位置。
旅行者: 关于「仙女」…
德沃沙克: 哈哈…我已经和她当面道过谢了。
德沃沙克: 她说：「见人有难出手相助是天经地义之事，而你带给璃月港的精彩音乐，更值得感谢与祝福。」
德沃沙克: 啊，真是令我受宠若惊…
德沃沙克: 但我也决定了，一定要创作出更精彩的，属于我们这个时代的音乐！
旅行者: 再见。
德沃沙克: #这次多亏有你，旅行者，请让我再次致以最真挚的感谢！

## Talk

瑶瑶: 真好真好，轻策庄的爷爷奶奶们也都很开心！
旅行者: 关于轻策庄…
瑶瑶: 是问瑶瑶在这里做什么吗？我刚刚在给大家表演节目喔！
瑶瑶: 我不像师父能弹出那么优美的琴声，但唱唱歌，我还是会的啦。
瑶瑶: 若心奶奶都夸了我，还送了我好吃的糖果，嘿嘿。
旅行者: 关于师父…
瑶瑶: 师父从前和我讲过好多仙家往事！
瑶瑶: 有着大大鹿角的移霄叔叔，喜欢收集珍宝的鸣海叔叔…
瑶瑶: 师父讲啊讲啊，有时声音会变得有些悲伤。但她总在最后笑着告诉我，大家都爱着璃月…
瑶瑶: 我也爱璃月喔！
瑶瑶: 所以，我会替那些仙人叔叔阿姨，好好照顾璃月的大家！
旅行者: 关于德沃沙克…
瑶瑶: 德沃沙克叔叔找到了故事里的仙女，故事里的仙女就是师父…这两件事情，都很让我高兴。
瑶瑶: 而且，我这次也帮上了忙对吧，也算是…「不辱师门」？
瑶瑶: 对了对了，叔叔他还托朋友，给我带了个枫丹来的小玩具，我可喜欢了！
