# Talk Activity Group: 2007

## Talk

言笑: 虽然我没能赢下这次的厨王争霸赛，但在比赛中确实学到了不少东西！
言笑: 我想趁着逐月节多学几道新菜，再试试香菱大厨的那些奇思妙想，没准能有意想不到的效果呢！
言笑: …欸，话说你咋又随随便便进来厨房了？

## Talk

江雪: 言笑这回在厨王争霸赛上得了第二名，可惜，却也不是坏事。
江雪: 厨艺一事本就与武学相似，有对手才有比较，才有进步。
江雪: 以后他多半要研究新菜谱了吧。希望到时能叫我去试吃。

## Talk

淮安: 您好您好。我是望舒客栈掌柜淮安。
淮安: 望舒客栈可是登高赏月的好地方，顶层的视野极佳，空中皎月和周边美景一览无余。

## Talk

菲尔戈黛特: 您好啊，您也算回头客了吧，欢迎欢迎。
菲尔戈黛特: 逐月节可是品尝美食和登高赏月的最好时节，望舒客栈两者兼得，您算是来对了。

## Talk

萍姥姥: 是你啊，孩子。逐月节的璃月可是很热闹的，到处多逛逛吧，呵呵。

## Talk

旅行者: 关于灶神…
萍姥姥: 现在你也知道了，逐月节便是岩王帝君为了纪念这位友人而设立的节日。
萍姥姥: 你们现在叫他「锅巴」对吗？呵呵，香菱用自己喜欢的食物为「炉灶之魔神」起了新的名字，也算是一种缘分吧。
萍姥姥: 你和香菱，有空的时候，带着他多在璃月港转转吧。
萍姥姥: 我相信他看到现在人烟兴旺的璃月港，心中一定十分快乐。

## Talk

天叔: 你好啊，年轻人，是来璃月港享受逐月节的吗？
天叔: 在以前的逐月节，璃月人会吃望宵饼，喝月桂酒，寄托对亲友团圆和未来生活的愿望。
天叔: 现在的逐月节，菜肴、小吃的种类越来越多，大家也就不那么讲究，想吃什么就吃什么了。
天叔: 趁着节日，你可要多吃点璃月的美食啊。

## Talk

卯师傅: 来尝尝「万民堂」的手艺？在吃虎岩的人都应该听说过我卯师傅的名号。
卯师傅: 就算我的名声不够响，我闺女香菱，本届厨王争霸赛的冠军，她的名号大家现在也应该都知道了！
卯师傅: 哈哈，不愧是我闺女，天赋异禀的料理天才，未来就看她的了！

## Talk

杰里: 最近又是逐月节，又是厨王争霸赛的，感觉璃月人对美食的热情更加高涨了。
杰里: 我要不要趁着节日，多试试璃月菜呢？但这里的饮食实在是…

## Talk

弗莱琪: 唉，难得的逐月节，璃月的食物更加丰富了，但我的弟弟还是那么弱…
弗莱琪: 听说厨王争霸赛上出了不少新菜，我一定要拉着弟弟，一道一道尝过来！
弗莱琪: 希望能吃到和平时的璃月菜不一样的味道，毕竟之前吃过的那些…也就那样吧。

## Talk

一然: 阿宽！我要摘月亮！
阿宽: 嘿，这孩子，要求怎么越来越离谱了！而且说了多少次了，要叫我爸爸。
一然: 不好。而且我的要求一点都不离谱。
