# 特别的朋友


## Talk 1

#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀呀！
「半熟蛋」 (警惕的匿叶龙): 呜！
派蒙: 我们是不是打扰到它用餐了？它看起来真的很生气…

## Talk 2

瓦达娜: 「我没有必须达成的目标，也没有迫切的渴望，我是个快乐的牧民，我只关心绵驮兽，关心日月花草、清风雨露…」
瓦达娜: 这是我最喜欢的小曲，怎么样？还不错吧。

## Talk 3

黑屏文本: 啊，是毛茸茸，有什么毛茸茸的东西拦住了你…
活泼的绵驮兽: 嗯——？
「半熟蛋」 (警惕的匿叶龙): 呜…
活泼的绵驮兽: 嗯嗯——
派蒙: 欸？原来你们是朋友吗？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！呀呀！
黑屏文本: 看起来是在附近看管绵驮兽的人走过来安抚匿叶龙…
瓦达娜: 「半熟蛋」，你冷静一点喔，就是因为你老是这样轻率地下判断，所以才是个「半熟蛋」啊。
「半熟蛋」: 呜…
瓦达娜: 抱歉啦，它就是责任心太重，看到陌生人靠近就会很紧张。不过也多亏了它这么卖力看管绵驮兽，我才能悠闲度日，哈哈。
瓦达娜: 所以几位到这里来是有何贵干呢？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 只是四处冒险。
瓦达娜: 哎呀，原来是冒险家。说不定在「半熟蛋」的眼里，你是浑身散发出强敌气息的危险人物呢。
派蒙: 没想到匿叶龙还能替人看管绵驮兽。之前远远地看见它们，还以为绵驮兽要被袭击了，原来是我误会它了！
瓦达娜: 哈哈，常有的事。别看它凶凶的，其实和绵驮兽关系好得很呢，说是朋友也不为过。
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呜…呀！呀呀！
瓦达娜: 怎么啦，小家伙，你也想和它们交朋友吗？
#{REALNAME[ID(2)|SHOWHOST(true)]}: 呀！呀呀呀！
派蒙: #哇，这么激动，看来是真的很想和它们交朋友。不过说来也是，平时都是和我还有旅行者在一起，能交上动物朋友的话…
瓦达娜: 那画面一定很可爱，被绵驮兽簇拥着的顽皮小嵴锋龙，光是看着这样的场景我就能吃下三碗火焰炖肉…
瓦达娜: 啊，不过也得看绵驮兽它们愿不愿意，毕竟友谊这事也勉强不来。对不对呀，「半熟蛋」？
「半熟蛋」: 呜。
旅行者: #谁敢不喜欢我家{REALNAME[ID(2)|SHOWHOST(true)]}？
派蒙: #你不要一副怪物监护人的样子啦！给{REALNAME[ID(2)|SHOWHOST(true)]}一点机会，让它自己试试吧。
