# 工作的意义是…？


## Talk 1

派蒙: 快走啦，不要打扰人家吃东西！坏家伙…

## Talk 2

艾尤恩: 谢谢你。我都看见了，趁着这群紫金渔鸥不在，我得赶紧把薯条吃完了。
艾尤恩: 唉，但下次怎么办呢？我也不能每一次都找你帮忙啊。

## Talk 3

艾尤恩: 这群紫金渔鸥…真是吃个没完啊。简直就像是永远也吃不饱一样。
艾尤恩: 谢谢你帮忙引开了那些紫金渔鸥，我已经吃完薯条，准备开始工作了。
艾尤恩: 唉，但下次怎么办呢？我也不能每一次都找你帮忙啊。

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

艾尤恩: 你…你下手还真是不留情啊。周围的紫金渔鸥一下子全都被吓跑了，这效果真是立竿见影。
艾尤恩: 谢谢你，趁着没有紫金渔鸥打扰，我得赶紧把这盘薯条吃完。
艾尤恩: 唉，但下次怎么办呢？我也不能每一次都找你帮忙啊。

### Additional Talk 2

旅行者: 你养一只狗试试？
艾尤恩: 你的意思是…让我用狗来驱散那群紫金渔鸥？
艾尤恩: 这想法倒是不错，我也许能找人借一只…

### Additional Talk 3

旅行者: 呃…换个地方吃？
艾尤恩: 我暂时也找不到什么好地方吃东西了。要是离沫芒宫太近，说不定就会被同事撞见。
艾尤恩: 然后，他们就会拉着我，一边吃饭一边谈工作…
艾尤恩: 要是离沫芒宫太远，我又不能准时回到办公室里，说不定会错过什么重要事务。
艾尤恩: 同时考虑到这两点，也只有这里能让我一个人安安静静地吃一顿饭了。

### Additional Talk 4

艾尤恩: 紫金渔鸥啊，紫金渔鸥。你们吃完这些薯条之后，就快点走吧…
旅行者: 现在情况怎么样？
艾尤恩: 不，一点用也没有。当紫金渔鸥朝着我的薯条扑来的时候，它毫不犹豫地冲到了我的身后，躲起来瑟瑟发抖。
艾尤恩: 唉，这也不能怪它们。这种小狗从生下来就只有一种责任，那就是爱别人和被别人爱…它从来没学习过如何发起攻击。
旅行者: 我们也有这种责任啦。
艾尤恩: 也许吧。但在某些情况下，爱会被认为是一种权力。只要沾上权力这两个字，事情总是会朝着糟糕的方向一路狂奔…
艾尤恩: 抱歉，我说得太多了。这几天我处理了好多件和情感纠纷有关的事情，思维暂时还没有缓过来。
艾尤恩: 唉，现在我的当务之急，是如何安全地吃完这一份薯条…
旅行者: 小狗派上用场了吗？

### Additional Talk 5

旅行者: 我会把它们全部赶走的。
艾尤恩: 行，但你能…尽量只是把紫金渔鸥们赶走吗？它们就是想吃点薯条，没什么其他的恶意。
艾尤恩: 好吧，这对我来说还挺有恶意的，但也并不是什么大事，所以…拜托你了，只把它们赶走就行。

### Additional Talk 6

旅行者: 我会用别的东西去喂饱它们。
艾尤恩: 咦？这倒是个好主意。但那么多紫金渔鸥，你喂得过来吗？
艾尤恩: 不过…就算喂不饱它们也没关系，只要让我有时间吃完薯条就好。那就拜托您了。

### Additional Talk 7

艾尤恩: 洛耶茨先生要的文件是…呃…不对，这个数据我是不是记错了…
